id,produto,quantidade,preÃ§o,data
1,caneta esferográfica azul,10,0.99,01/06/2023
2,caneta esferográfica preta,15,0.99,02/06/2023
3,marca-texto amarelo,5,1.49,03/06/2023
4,marca-texto verde,3,1.49,04/06/2023
5,estojo de lápis de cor,2,4.99,05/06/2023
6,borracha branca,20,0.50,06/06/2023
7,apontador de lápis,8,1.00,07/06/2023
8,caderno universitário 100 folhas,5,3.99,08/06/2023
9,agenda semanal,3,5.99,09/06/2023
10,pasta com elástico,6,2.49,10/06/2023
11,clips metálico,50,0.10,11/06/2023
12,grampeador pequeno,3,2.99,12/06/2023
13,grampos para grampeador,100,0.05,13/06/2023
14,post-it,10,1.99,14/06/2023
15,régua plástica transparente 30cm,5,0.99,15/06/2023
16,tesoura escolar,4,1.99,16/06/2023
17,livro de colorir para adultos,2,6.99,17/06/2023
18,jogo de tabuleiro,1,19.99,18/06/2023
19,quebra-cabeça 1000 peças,1,14.99,19/06/2023
20,kit de pintura a óleo,2,9.99,20/06/2023
21,lápis grafite HB,20,0.25,21/06/2023
22,lápis 6B,5,0.50,22/06/2023
23,lápis 4H,3,0.50,23/06/2023
24,caneta hidrográfica,10,0.75,24/06/2023
25,folha de papel A4,500,4.99,25/06/2023
26,álbum de fotografia,1,12.99,26/06/2023
27,pasta catalogadora,3,3.49,27/06/2023
28,etiquetas adesivas,100,1.99,28/06/2023
29,organizador de escritório,2,7.99,29/06/2023
30,cubo de notas adesivas,4,2.49,30/06/2023
