id,produto,quantidade,preÃ§o,data
1,teclado sem fio,3,49.99,01/04/2023
2,mouse óptico,5,19.99,02/04/2023
3,monitor de 24 polegadas,2,199.00,03/04/2023
4,placa de vídeo AMD RX 6800,1,899.00,04/04/2023
5,processador Intel Core i9-12900K,1,599.00,05/04/2023
6,memória RAM DDR5 32GB,4,149.99,06/04/2023
7,SSD NVMe 2TB,2,249.99,07/04/2023
8,HD Externo 4TB,1,129.99,08/04/2023
9,impressora a laser colorida,1,299.00,09/04/2023
10,webcam 4K,1,79.99,10/04/2023
11,cadeira ergonômica,1,249.00,11/04/2023
12,escrivaninha para computador,1,119.00,12/04/2023
13,luminária de mesa com carregador wireless,1,39.99,13/04/2023
14,tapete para teclado e mouse,1,14.99,14/04/2023
15,fone de ouvido bluetooth,3,29.99,15/04/2023
16,caixa de som Bluetooth portátil,2,39.99,16/04/2023
17,smartphone Android,1,599.00,17/04/2023
18,smartwatch,1,129.00,18/04/2023
19,carregador sem fio,2,19.99,19/04/2023
20,câmera de segurança Wi-Fi,4,49.99,20/04/2023
21,roteador Wi-Fi 6,1,99.99,21/04/2023
22,extensor de alcance Wi-Fi,2,29.99,22/04/2023
23,switch Ethernet Gigabit,1,34.99,23/04/2023
24,kit de limpeza para eletrônicos,3,9.99,24/04/2023
25,cabo USB-C,5,7.99,25/04/2023
26,adaptador HDMI para VGA,2,12.99,26/04/2023
27,leitor de cartão de memória,3,6.99,27/04/2023
28,capa para tablet,2,14.99,28/04/2023
29,carregador portátil,4,24.99,29/04/2023
30,tripé para celular,2,19.99,30/04/2023
31,ring light com tripé,1,39.99,01/05/2023
32,mochila para laptop,2,29.99,02/05/2023
33,cadeado para laptop,1,9.99,03/05/2023
34,capa para notebook,3,12.99,04/05/2023
35,protetor de tela para laptop,2,7.99,05/05/2023
36,adaptador Bluetooth USB,3,9.99,06/05/2023
37,mini ventilador USB,4,5.99,07/05/2023
38,hub USB 3.0,2,14.99,08/05/2023
39,organizador de cabos,3,8.99,09/05/2023
40,suporte para smartphone para carro,2,9.99,10/05/2023
